title,price
"Laptop Gaming HP VICTUS 15-fa1033nn cu procesor Intel® Core™ i5-12500H pana la 4.5GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Free DOS, Ceramic White","4.099,99 Lei"
"Laptop Gaming Acer Nitro V15 ANV15-51-5844 cu procesor Intel® Core® i5-13420H pana la 4.7GHz, 15.6"", Full-HD, IPS, 144Hz, 16GB DDR5, 512GB SSD, NVIDIA® Geforce® RTX™ 2050 4GB GDDR6, No OS, Obsidian Black","2.849,00 Lei"
"Laptop ASUS Vivobook S 14 OLED M5406UA cu procesor AMD Ryzen™ 7 8845HS pana la 5.1GHz, 14.0'', 3K, OLED, 120Hz, 16GB LPDDR5X, 1TB SSD, AMD Radeon™ Graphics, No OS, Neutral Black","3.899,99 Lei"
"Laptop ASUS Vivobook 15 A1504VA cu procesor Intel® Core™ i7-1355U pana la 5.0GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, No OS, Quiet Blue","2.699,99 Lei"
"Laptop Dell Vostro 3520 cu procesor Intel Core i7-1255U, 15.6"", Full HD, 120Hz, 24GB DDR4, 1TB SSD, Windows 11 Pro, Negru","3.599,99 Lei"
"Laptop Gaming Lenovo LOQ 15IAX9 cu procesor Intel® Core™ i5-12450HX pana la 4.4GHz, 15.6"" Full HD, IPS, 144Hz, 16GB RAM, 512GB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Luna Grey","3.499,99 Lei"
"Laptop Gaming Lenovo LOQ 15IAX9I cu procesor Intel® Core™ i5-12450HX pana la 4.40GHz, 15.6'', Full HD, IPS, 144Hz, 12GB DDR5, 512GB SSD, Intel® Arc™ A530M 4GB GDDR6, No OS, Luna Grey","2.899,99 Lei"
"Laptop ASUS Vivobook 15 X1502ZA cu procesor Intel® Core™ i7-12700H pana la 4.7 GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, No OS, Quiet Blue","2.749,99 Lei"
"Laptop ASUS Vivobook 15 A1504VA cu procesor Intel® Core™ i5-1335U pana la 4.6GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, No OS, Quiet Blue","2.199,99 Lei"
"Laptop Gaming Acer Nitro V 15 ANV15-51 cu procesor Intel® Core™ i5-13420H pana la 4.60 GHz, 15.6"", Full HD, IPS, 144Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, Free DOS, Black","4.199,99 Lei"
"Laptop HP 15-fd0042nq cu procesor Intel® Core™ i3-1315U pana la 4.5 GHz, 15.6"", Full HD, 8GB DDR4, 512GB SSD, Intel® UHD Graphics, Free DOS, Warm Gold","1.699,99 Lei"
"Laptop Dell Vostro 3520 cu procesor Intel® Core™ i5-1235U pana la 4.4 GHz, 15.6"" Full HD, 8GB DDR4, 512GB SSD, Intel® UHD Graphics, Windows 11 Pro, Black","2.399,99 Lei"
"Laptop ASUS ROG Strix G16 G614JV-N3133MXM, Intel Core i5-13450HX, 16inch, RAM 32GB, SSD 512GB + 1TB, nVidia GeForce RTX 4060 8GB, No OS, Eclipse Gray","6.799,66 Lei"
"Laptop 14"" cu procesor Intel® Celeron® J4105, Windows 11, 6GB RAM, 120GB SSD, 1920*1080 Full HD, Intel® UHD Graphics 600, Argintiu","949,16 Lei"
"Laptop Lenovo Lenovo V15 G4 IRU cu procesor Intel® Core™ i3-1315U pana la 4.5GHz, 15.6"", Full HD, IPS, 16GB RAM, 512GB SSD, Intel® UHD Graphics, No OS, Business Black, 3y Courier or Carry-in","1.749,99 Lei"
"Laptop Gaming Lenovo LOQ 15IRX9 cu procesor Intel® Core™ i7-13650HX pana la 4.9GHz, 15.6"" Full HD, IPS, 144Hz, 24GB DDR5, 512GB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Luna Grey","4.499,99 Lei"
